city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy
Manhattan,Large Private Suite in the Heart of Midtown,Room in hotel,$120 ,Stewart Hotel,3 Reviews,4,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n5 Reviews']"
Manhattan,"Manhattan, Huge Room Near Central Park & Metro",Private room in apartment,$109 ,Joo,143 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '2 shared baths', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,"Midtown Times Square bright room, private bath",Private room in apartment,$175 ,Troy,131 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n434 Reviews', '\U000f0019\nVerified']"
Manhattan,"Midtown Times Square bright room, private bath",Private room in apartment,$175 ,Troy,131 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n434 Reviews', '\U000f0019\nVerified']"
Manhattan,TriBeCa 2500 Sq Ft w/ Priv Elevator,Entire loft,$500 ,Chester & Jon,431 Reviews,5,"['12 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n461 Reviews', '\U000f0019\nVerified']"
Manhattan,"Nice apt UWS, great neighborhood, near midtown.",Private room in apartment,$74 ,Joaquin,1 Review,,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n2 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Artist Live/Work Apartment,Entire apartment,$185 ,Larry,152 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n154 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Vintage Loft Style Studio - Greenwich/Union Square,Entire apartment,$250 ,Gina,125 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n244 Reviews', '\U000f0019\nVerified']"
Manhattan,private bedroom w/private bathroom on Central Park,Private room in apartment,$160 ,Arlette,315 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n580 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Manhattan,Super cute 1 bedroom apartment close to TimeSquare,Entire apartment,$137 ,Chris And Jamie,9 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n192 Reviews', '\U000f0019\nVerified']"
Manhattan,Private bedroom with queen bed and single bed.,Private room in apartment,$76 ,Kate,92 Reviews,4,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n255 Reviews', '\U000f0019\nVerified']"
Manhattan,Cute Room. Manhattan. 20 min train to Time Square!,Private room in apartment,$89 ,Angelica,62 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n117 Reviews', '\U000f0019\nVerified']"
Manhattan,Oriental Room in Upper Manhattan near Central Park,Private room in apartment,$116 ,Alfred And Lau,84 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']"
Manhattan,"NYC,Modern and Spacious Apt",Entire apartment,$140 ,Iryna,138 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n271 Reviews', '\U000f0019\nVerified']"
Manhattan,Big Room W/2 Beds & A/C unit. 15 min to Manhattan!,Private room in apartment,$90 ,Darko,33 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n127 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy studio perfectly located,Entire apartment,$95 ,Elia,67 Reviews,4,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n67 Reviews']"
Manhattan,Large private bedroom 1 stop from Manhattan,Private room in condominium,,Richard,24 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '2 shared baths', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']"
Manhattan,Perfect Times Square 1 bedroom,Entire apartment,$122 ,James,118 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n305 Reviews', '\U000f0019\nVerified']"
Manhattan,Soho - Beautiful 3 Bedroom,Entire apartment,$266 ,Kathrin,220 Reviews,4.5,"['5 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n221 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern Furnished Studio APT- Midtown NYC!! ~303~,Entire apartment,$140 ,Gispan,96 Reviews,4.5,"['4 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n97 Reviews', '\U000f0019\nVerified']"
Manhattan,☆ PERFECT MANHATTAN LOCATION NEAR SUBWAY & CAFES!☆,Entire apartment,$139 ,Jenny,272 Reviews,4.5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n354 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Best Views in Heart of Times Square,Entire apartment,$342 ,Frank,160 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n85 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy 2 Bedroom APT in the Center of Herald SQ! 4R,Entire apartment,$137 ,Il Kwon,16 Reviews,4.5,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n147 Reviews', '\U000f0019\nVerified']"
Manhattan,Garden Oasis Apartment - 2 bedroom,Entire apartment,$200 ,Julia,157 Reviews,4.5,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n159 Reviews', '\U000f0019\nVerified']"
Manhattan,Quiet Soho/Nolita Garden Alcove Studio,Entire apartment,$153 ,Deeva,155 Reviews,5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n189 Reviews', '\U000f0019\nVerified']"
Manhattan,HUGE East Village 2 Bd w/Priv Yard,Entire condominium,$199 ,Deborah,232 Reviews,4.5,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n234 Reviews', '\U000f0019\nVerified']"
Manhattan,SPACIOUS BEDROOM AND PRIVATE BATH!!!,Private room in apartment,$140 ,Steve,232 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n233 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Manhattan,A Perfect Match! The NYC All-Rounder Apartment,Entire apartment,$210 ,Suzanne,36 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n36 Reviews', '\U000f0019\nVerified']"
Manhattan,"Room with the balcony, fits 3!",Private room in apartment,$102 ,Simon,96 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n219 Reviews']"
Manhattan,Live in New York Near Central Park and Columbia U.,Entire apartment,$140 ,Mekkie,76 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Room with Private Bath; Prime LES/Chinatown,Private room in apartment,$110 ,Tara,94 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n210 Reviews', '\U000f0019\nVerified']"
Manhattan,Vibrant Brownstone Penthouse Near Central Park,Entire apartment,$152 ,John,116 Reviews,5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n127 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Manhattan,Columbia University/ Upper west/Steps CentralPark,Entire apartment,$90 ,Miguel,12 Reviews,5,"['8 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n34 Reviews', '\U000f0019\nVerified']"
Manhattan,Master bedroom. 20 min. train to Time Square!,Private room in apartment,$92 ,Angelica,55 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 shared bath', '\U000f0004\n117 Reviews', '\U000f0019\nVerified']"
Manhattan,Location Location Location!!!!,Entire apartment,$185 ,Al,167 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n168 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Townhouse Apt -2 blocks to Subway,Entire apartment,$204 ,Lisa,117 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n185 Reviews', '\U000f1101\n3 References']"
Manhattan,Cozy apartment near Central Park,Entire apartment,$203 ,Klara,95 Reviews,4.5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n101 Reviews', '\U000f0019\nVerified']"
Manhattan,NYC Private 1BR Apartment - 116th Street,Entire apartment,$128 ,Dustin,41 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n44 Reviews', '\U000f0019\nVerified']"
Manhattan,Harlem Style Spacious and Sunny,Entire apartment,$154 ,M. Elizabeth,117 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n117 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Townhouse Apt -2 blocks to Subway,Entire apartment,$204 ,Lisa,117 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n185 Reviews', '\U000f1101\n3 References']"
Manhattan,Vibrant Brownstone Penthouse Near Central Park,Entire apartment,$152 ,John,116 Reviews,5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n127 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Manhattan,Harlem Style Spacious and Sunny,Entire apartment,$154 ,M. Elizabeth,117 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n117 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Two Bed in Prime Lower East Side/Chinatown:),Private room in apartment,$110 ,Tara,109 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n210 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy midtown apt next to metro & Empire State bldg,Entire apartment,$101 ,Spencer,66 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n66 Reviews', '\U000f0019\nVerified']"
Manhattan,"Apt in Little Italy/Chinatown, Lower Manhattan",Entire apartment,$180 ,Moying,23 Reviews,5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']"
Manhattan,Comfy NYC Studio 15 Min. To Midtown,Entire apartment,$125 ,Terrence,189 Reviews,4.5,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n190 Reviews', '\U000f0019\nVerified']"
Manhattan,STUDIO East village ❅Own bath!❅,Entire apartment,$149 ,Seith,267 Reviews,4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n939 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,"Prime location, Renovated,Inspiring",Entire apartment,$190 ,Elena,119 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n124 Reviews', '\U000f0019\nVerified']"
Manhattan,Huge Room in East Harlem on Madison Avenue,Private room in townhouse,$100 ,Kelvin,73 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n101 Reviews', '\U000f0019\nVerified']"
Manhattan,1 bedroom with 3 beds in the heart of Times Square,Entire apartment,$150 ,Kerri,64 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n64 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy apartment in Central Park North,Entire apartment,$135 ,Hafou,48 Reviews,4,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n49 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing Sunny Apartment in the Lower East Side,Entire apartment,$169 ,Todd,77 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n93 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing Large 1BR-Brand New quiet modern Charm!!!,Entire apartment,$100 ,Andrea,3 Reviews,,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n9 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Apt in Townhouse near Columbia University,Entire apartment,$133 ,Emilie,95 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']"
Manhattan,Lovely 2-bedroom 1bath in Chinatown & Little Italy,Entire apartment,$135 ,Carmen,129 Reviews,4.5,"['4 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n129 Reviews', '\U000f0019\nVerified']"
Manhattan,Newly Renovated 1 Bedroom Apartment Hell's Kitchen,Entire apartment,$169 ,Elgin,91 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']"
Manhattan,Comfy room in Manhattan 4 blocks from central park,Private room in apartment,$110 ,Elias,48 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n67 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing Sunny Apartment in the Lower East Side,Entire apartment,$169 ,Todd,77 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n93 Reviews', '\U000f0019\nVerified']"
Manhattan,Huge 3 Bedroom Apartment in Times Square,Entire apartment,$295 ,Mark,65 Reviews,4.5,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n179 Reviews', '\U000f0019\nVerified']"
Manhattan,Family Place in❤️❤️of Manhattan ⌚Times Square★★★★★,Entire apartment,$278 ,Alex,133 Reviews,4.5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n12 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Apt in Townhouse near Columbia University,Entire apartment,$133 ,Emilie,95 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']"
Manhattan,MANHATTAN NEWLY RENOVATED SPACIOUS MODERN FLAT!,Entire apartment,$180 ,Emmanuel,20 Reviews,4.5,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
Manhattan,"Close to Central Park,renovated quite studio A",Entire apartment,$149 ,Aron,50 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n96 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Little Brownstone on Central Park West,Entire loft,$150 ,Shannon,130 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']"
Manhattan,Stunning 2 BR Apartment Steps to the UN,Entire apartment,$180 ,Noa,116 Reviews,4.5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n124 Reviews', '\U000f0019\nVerified']"
Manhattan,,,,,,,[]
Manhattan,Spacious 1 BDRM near Central Park,Entire apartment,$195 ,Michael,174 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']"
Manhattan,"Times Square,center of New York City,7 mins walk!",Entire apartment,$169 ,Grayson,117 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n323 Reviews', '\U000f0019\nVerified']"
Manhattan,Airy Apartment in Times Square,Private room in apartment,$99 ,Lina,8 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n145 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern 1 bedroom GREAT location,Entire apartment,$239 ,Tina,166 Reviews,4.5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n178 Reviews', '\U000f0019\nVerified']"
Manhattan,COZY 2BDR APT- TIMES SQ / MIDTOWN WEST,Entire apartment,$150 ,Ed &Alexa,59 Reviews,4.5,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n1429 Reviews', '\U000f0019\nVerified']"
Manhattan,Private Studio Apartment in a Historic Brownstone,Private room in townhouse,$124 ,Jacob,123 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n874 Reviews', '\U000f0019\nVerified']"
Manhattan,Cute Room in Lower East Side!,Private room in apartment,$68 ,Kate,110 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n255 Reviews', '\U000f0019\nVerified']"
Manhattan,New York Chelsea apartment,Entire apartment,$145 ,Sonia,20 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n20 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing and large 1 bedroom in the heart of NYC,Entire apartment,$125 ,Yasmin,10 Reviews,4,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']"
Manhattan,Charming Bedroom in Harlem,Private room in apartment,$140 ,Charles,313 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1.5 shared baths', '\U000f0004\n313 Reviews', '\U000f0019\nVerified']"
Manhattan,Stylish 2BR ★ Sleeps 6 ★ C.Park,Entire apartment,$190 ,Gilad,109 Reviews,4,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n109 Reviews', '\U000f0019\nVerified']"
Manhattan,COZY STUDIO Upper West Side,Entire apartment,$199 ,Petrina,73 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']"
Manhattan,CLEAN & COZY EAST VILLAGE PAD,Entire apartment,$155 ,Lina,153 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n569 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Clean Apartment in A Warm Home,Entire apartment,$69 ,AGood,121 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']"
Manhattan,Full Apartment on Central Park in Vibrant Harlem,Entire apartment,$121 ,Britt,74 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n74 Reviews', '\U000f0019\nVerified']"
Manhattan,Luxury spacious quiet 1 bedroom by Columbus Circle,Entire apartment,$179 ,Elena,62 Reviews,5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n77 Reviews', '\U000f0019\nVerified']"
Manhattan,"Luxury Astoria 1BD apt, 20min from Manhattan",Entire apartment,$130 ,Vadim,57 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n204 Reviews', '\U000f0019\nVerified']"
Manhattan,"Clean/Quiet Apt, Great Location, with washer/dryer",Entire apartment,$93 ,David,193 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n193 Reviews', '\U000f0019\nVerified']"
Manhattan,New Modern 1 Bedroom Apt - Hip Downtown Manhattan,Entire apartment,$240 ,Mike,208 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n210 Reviews', '\U000f0019\nVerified']"
Manhattan,Your Own Private Entrance Studio in Stylish Duplex,Private room in apartment,$109 ,Yamil,78 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1.5 private baths', '\U000f0004\n79 Reviews', '\U000f0019\nVerified']"
Manhattan,Big Studio next to Madison Square Garden,Entire apartment,$125 ,Sara,2 Reviews,,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n2 Reviews', '\U000f0019\nVerified']"
Manhattan,quaint village apartment for up to 6,Entire apartment,$225 ,Jacqueline,69 Reviews,4.5,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n166 Reviews', '\U000f0019\nVerified']"
Manhattan,New York City Historical Brownstone First Floor.,Entire apartment,$27 ,Naima,231 Reviews,5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n488 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing East Village Xtra Large Studio Apartment!,Entire apartment,$205 ,Joseph,100 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n126 Reviews', '\U000f0019\nVerified']"
Manhattan,UES Renovated Safe Location,Entire apartment,$148 ,Marvin,59 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n87 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious room w/Private Roof Deck in Shared Apt,Private room in apartment,$172 ,Apeksha,121 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Private Room at Central Park!,Private room in apartment,$120 ,Saint,194 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n197 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing East Village Xtra Large Studio Apartment!,Entire apartment,$205 ,Joseph,100 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n126 Reviews', '\U000f0019\nVerified']"
Manhattan,"Sunny 1 Bedroom Apt, Lower East Side, Manhattan",Private room in apartment,$140 ,Lilly,70 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n78 Reviews', '\U000f0019\nVerified']"
Manhattan,Union Square East,Entire apartment,$91 ,Stanton St,36 Reviews,4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n37 Reviews', '\U000f0019\nVerified']"
Manhattan,Harlem Brownstone Retreat Suite,Entire apartment,$140 ,Lana,68 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']"
Manhattan,"Perfect Harlem, New York Retreat",Entire apartment,$169 ,Ferris,312 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n320 Reviews', '\U000f0019\nVerified']"
Manhattan,quaint village apartment for up to 6,Entire apartment,$225 ,Jacqueline,69 Reviews,4.5,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n166 Reviews', '\U000f0019\nVerified']"
Manhattan,"Cozy Room in Astoria,15min with Ferry To Manhattan",Private room in apartment,$75 ,Darko,30 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n127 Reviews', '\U000f0019\nVerified']"
Manhattan,COZY ONE BEDROOM APARTMENT IN MANHATTAN,Entire apartment,$156 ,Liza,69 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n70 Reviews', '\U000f0019\nVerified']"
Manhattan,Charming Family Style Brownstone Apartment,Entire apartment,$219 ,Katiuscia,53 Reviews,4.5,"['6 guests', '1 bedroom', '3 beds', '2 baths', '\U000f0004\n54 Reviews', '\U000f0019\nVerified']"
Manhattan,Stylish 1 Bedroom w/terrace perfect location,Entire apartment,$249 ,Jack,138 Reviews,4.5,"['6 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n138 Reviews', '\U000f0019\nVerified']"
Manhattan,Heart of Manhattan,Entire apartment,$179 ,Diane,33 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Stylish 2 br duplex in HK ft from Time SQ,Entire apartment,$350 ,Luis,105 Reviews,5,"['6 guests', '2 bedrooms', '3 beds', '1.5 baths', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']"
Manhattan,2 Bedrooms & 2 Bathrooms Apt in Hell's Kitchen,Entire apartment,$241 ,Alex G,254 Reviews,4.5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n474 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern 1 Bedroom 4FL w/Marble Bthr,Entire apartment,$150 ,Tny,8 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n75 Reviews', '\U000f0019\nVerified']"
Manhattan,Fabulously Located Comfortable 3 Bedroom Loft,Entire loft,$253 ,E.C.,46 Reviews,4.5,"['8 guests', '3 bedrooms', '6 beds', '1 bath', '\U000f0004\n46 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Upper East Side 1bedroom,Entire apartment,$174 ,Susie,181 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n245 Reviews', '\U000f0019\nVerified']"
Manhattan,Prime Location Sun Filled West Village Townhome,Entire apartment,$202 ,Cate,183 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n330 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing Downtown With Rooftop,Entire apartment,$228 ,Jake,211 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n492 Reviews', '\U000f0019\nVerified']"
Manhattan,Fabulously Located Comfortable 3 Bedroom Loft,Entire loft,$253 ,E.C.,46 Reviews,4.5,"['8 guests', '3 bedrooms', '6 beds', '1 bath', '\U000f0004\n46 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazing Downtown With Rooftop,Entire apartment,$228 ,Jake,211 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n492 Reviews', '\U000f0019\nVerified']"
Manhattan,Authentic Midtown Manhattan Studio,Entire apartment,$135 ,Vicente,31 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n53 Reviews', '\U000f0019\nVerified']"
Manhattan,DaDukes Dreams,Private room in house,$85 ,Alberto,66 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '2 shared baths', '\U000f0004\n398 Reviews', '\U000f0019\nVerified']"
Manhattan,1 Bedroom/1 Livingroom on 21st and 8th in Chelsea,Entire apartment,$145 ,Katie Knapp,33 Reviews,5,"['3 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Upper East Side 1bedroom,Entire apartment,$174 ,Susie,181 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n245 Reviews', '\U000f0019\nVerified']"
Manhattan,"Light, Large Apt Near Central Park",Entire apartment,$195 ,Jane,164 Reviews,4.5,"['7 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n391 Reviews', '\U000f0019\nVerified']"
Manhattan,Entire 1BR Apt in Manhattanville,Entire condominium,$94 ,Corey,61 Reviews,4.5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n64 Reviews', '\U000f0019\nVerified']"
Manhattan,Room can fit 3 people in Manhattan close to subway,Private room in apartment,$65 ,Julianna,12 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n52 Reviews', '\U000f0019\nVerified']"
Manhattan,"Sunny West Village apt, 2 beds",Entire apartment,$150 ,Aspen,31 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n43 Reviews', '\U000f0019\nVerified']"
Manhattan,Paradise in New York City 2,Entire apartment,$27 ,Shama,13 Reviews,5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n81 Reviews', '\U000f0019\nVerified']"
Manhattan,Beautiful Apartment near Times Square Central Park,Entire apartment,$241 ,Ash,94 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n94 Reviews', '\U000f0019\nVerified']"
Manhattan,1 BEDROOM SUITE IN HARLEM FAMILY TOWNHOUSE,Entire apartment,$200 ,Maribel,175 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n182 Reviews', '\U000f0019\nVerified']"
Manhattan,Great renovated studio in the heart of Manhattan,Entire apartment,$145 ,Shirley,74 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n74 Reviews']"
